Word,PonderadoApilado,Similares
procuradora,2.4699999999999998,"['exprocuradora', 'procuraduría']"
estabilidad,2.46,['inestabilidad']
sendero luminoso,2.45,['sendero luminoso arturo morote']
vocero,2.43,['verónika – i vocero']
techo propio,2.4000000000000004,['techo']
desafío,2.4,['nuestro desafío climático']
california,2.37,['long beach california']
doctorado,2.36,['doctorado en epidemiología climática']
gabriela herrera “estar,2.35,"['gabriela herrera ""estar seguro', 'gabriela herrera', 'herrera']"
transporte,2.35,"['autoridad de transporte urbano', 'transportes']"
tierra,2.34,['la tierra']
océano,2.32,['océano atlántico']
departamento de estado,2.31,['departamento']
liga de campeones,2.31,['liga']
banco,2.27,"['banco mundial', 'blanco', 'monumental banco pichincha']"
vinculación,2.27,['inoculación']
revista,2.25,['revisa']
palabra,2.25,['palabras']
manchester city,2.22,['city']
español,2.2199999999999998,['instituto español de oceanografía']
sicarios,2.21,['sicario']
continente,2.21,['estado del continente']
futbolista,2.19,['exfutbolista']
star+,2.19,['star globalcom c12']
diana sánchez,2.19,['sánchez']
disney+,2.19,"['disney plus', 'disney']"
asesor,2.19,['asesora']
